Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayDescription,PlayStart
2025,Hall Of Fame,THU,07/31,Chargers,Lions,1ST QUARTER,1,DET,0,1,0,Fumble,"C.Dicker kicks 63 yards from LAC 35 to DET 2. G.Stuard to DET 28 for 26 yards (K.Williamson; C.Murphy). FUMBLES (K.Williamson), RECOVERED by LAC-K.Williamson at DET 28.
The Replay Official reviewed the runner was not down by contact ruling, and the play was Upheld. The ruling on the field stands.",Kickoff from LAC 35
2025,Hall Of Fame,THU,07/31,Chargers,Lions,1ST QUARTER,2,LAC,1,1,0,9 Yard Pass,(14:51) T.Lance pass short right to W.Dissly pushed ob at DET 19 for 9 yards (T.Nowaske).,1st & 10 at DET 28
2025,Hall Of Fame,THU,07/31,Chargers,Lions,1ST QUARTER,2,LAC,1,2,0,6 Yard Penalty,"(14:18) O.Hampton up the middle to DET 17 for 2 yards (T.Nowaske; P.O'Connor).
PENALTY on DET-T.Nowaske, Defensive Offside, 6 yards, enforced at DET 19 - No Play.",2nd & 1 at DET 19
2025,Hall Of Fame,THU,07/31,Chargers,Lions,1ST QUARTER,2,LAC,1,3,0,8 Yard Run,(14:07) (Shotgun) O.Hampton right guard to DET 5 for 8 yards (L.Strickland; E.Hallett).,1st & 10 at DET 13
2025,Hall Of Fame,THU,07/31,Chargers,Lions,1ST QUARTER,2,LAC,1,4,0,Run for No Gain,"(13:28) T.Lance FUMBLES (Aborted) at DET 6, and recovers at DET 6. T.Lance to DET 6 for no gain (G.Stuard).",2nd & 2 at DET 5
2025,Hall Of Fame,THU,07/31,Chargers,Lions,1ST QUARTER,2,LAC,1,5,0,1 Yard Run,(12:54) (Shotgun) O.Hampton left end to DET 5 for 1 yard (R.Ya-Sin).,3rd & 3 at DET 6
2025,Hall Of Fame,THU,07/31,Chargers,Lions,1ST QUARTER,2,LAC,1,6,0,Touchdown Chargers,"(12:15) T.Lance pass short right to W.Dissly for 5 yards, TOUCHDOWN.",4th & 2 at DET 5
2025,Hall Of Fame,THU,07/31,Chargers,Lions,1ST QUARTER,2,LAC,1,7,1,Extra Point Good,"C.Dicker extra point is GOOD, Center-J.Harris, Holder-J.Scott.",XP attempt from DET 15
2025,Hall Of Fame,THU,07/31,Chargers,Lions,1ST QUARTER,3,DET,0,1,0,Kickoff,C.Dicker kicks 66 yards from LAC 35 to DET -1. G.Stuard to DET 35 for 36 yards (T.Jefferson).,Kickoff from LAC 35
2025,Hall Of Fame,THU,07/31,Chargers,Lions,1ST QUARTER,3,DET,0,2,0,-10 Yard Penalty,"(12:04) C.Reynolds left end pushed ob at DET 37 for 2 yards (D.Leonard).
PENALTY on DET-S.Zylstra, Offensive Holding, 10 yards, enforced at DET 35 - No Play.",1st & 10 at DET 35
2025,Hall Of Fame,THU,07/31,Chargers,Lions,1ST QUARTER,3,DET,0,3,0,2 Yard Run,(11:47) C.Reynolds right tackle to DET 27 for 2 yards (O.Ogbonnia; T.Morris-Brash).,1st & 20 at DET 25
2025,Hall Of Fame,THU,07/31,Chargers,Lions,1ST QUARTER,3,DET,0,4,0,Pass Incomplete,(11:09) (Shotgun) K.Allen pass incomplete short right to D.Lovett (N.Reed).,2nd & 18 at DET 27
2025,Hall Of Fame,THU,07/31,Chargers,Lions,1ST QUARTER,3,DET,0,5,0,3 Yard Run,(11:03) (Shotgun) C.Reynolds left guard to DET 30 for 3 yards (T.Dye).,3rd & 18 at DET 27
2025,Hall Of Fame,THU,07/31,Chargers,Lions,1ST QUARTER,3,DET,0,6,0,Punt,"(10:14) J.Fox punts 44 yards to LAC 26, Center-H.Hatten. N.Miller-Hines to LAC 28 for 2 yards (H.Hatten; Z.Cunningham).",4th & 15 at DET 30
2025,Hall Of Fame,THU,07/31,Chargers,Lions,1ST QUARTER,4,LAC,0,1,0,6 Yard Pass,(10:02) T.Lance pass short right to J.Patterson to LAC 34 for 6 yards (T.Nowaske; E.Rakestraw).,1st & 10 at LAC 28
2025,Hall Of Fame,THU,07/31,Chargers,Lions,1ST QUARTER,4,LAC,0,2,0,Pass Incomplete,(9:23) (Shotgun) T.Lance pass incomplete short left.,2nd & 4 at LAC 34
