Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayDescription,PlayStart
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,1ST QUARTER,1,,1,1,0,18 Yard Pass,(15:00) (Shotgun) P.Mahomes pass short middle to J.Conner to AFC 43 for 18 yards (B.Wagner).,1st & 10 at AFC 25
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,1ST QUARTER,1,,1,2,0,Pass Incomplete,(14:22) (Shotgun) P.Mahomes pass incomplete short right to K.Allen (M.Jenkins).,1st & 10 at AFC 43
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,1ST QUARTER,1,,1,3,0,15 Yard Pass,(13:55) (Shotgun) P.Mahomes pass short left to K.Allen to NFC 42 for 15 yards (D.Slay).,2nd & 10 at AFC 43
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,1ST QUARTER,1,,1,4,0,12 Yard Pass,(13:15) (Shotgun) P.Mahomes pass short middle to T.Hill to NFC 30 for 12 yards (M.Jenkins).,1st & 10 at NFC 42
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,1ST QUARTER,1,,1,5,0,12 Yard Run,(12:35) J.Conner left end ran ob at NFC 18 for 12 yards (H.Smith).,1st & 10 at NFC 30
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,1ST QUARTER,1,,1,6,0,Pass Incomplete,(11:57) (Shotgun) P.Mahomes pass incomplete short middle to J.Smith-Schuster.,1st & 10 at NFC 18
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,1ST QUARTER,1,,1,7,0,Touchdown ,"(11:32) (Shotgun) P.Mahomes pass short left to E.Ebron for 18 yards, TOUCHDOWN.",2nd & 10 at NFC 18
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,1ST QUARTER,1,,1,8,1,Extra Point Good,"J.Myers extra point is GOOD, Center-C.Kreiter, Holder-B.Kern.",XP attempt from NFC 15
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,1ST QUARTER,2,,0,1,0,36 Yard Pass,(11:26) R.Wilson pass deep left to D.Adams to AFC 39 for 36 yards (J.Ramsey).,1st & 10 at NFC 25
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,1ST QUARTER,2,,0,2,0,4 Yard Run,(10:51) A.Kamara up the middle to AFC 35 for 4 yards (C.Heyward).,1st & 10 at AFC 39
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,1ST QUARTER,2,,0,3,0,11 Yard Pass,(10:18) (Shotgun) R.Wilson pass short middle to E.Elliott to AFC 24 for 11 yards (C.Mosley).,2nd & 6 at AFC 35
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,1ST QUARTER,2,,0,4,0,5 Yard Run,(9:42) E.Elliott right tackle to AFC 19 for 5 yards (D.Ford).,1st & 10 at AFC 24
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,1ST QUARTER,2,,0,5,0,7 Yard Run,(8:55) (Shotgun) S.Barkley left end ran ob at AFC 12 for 7 yards (J.Adams).,2nd & 5 at AFC 19
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,1ST QUARTER,2,,0,6,0,-9 Yard Sack,(8:23) R.Wilson sacked at AFC 21 for -9 yards (M.Ingram).,1st & 10 at AFC 12
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,1ST QUARTER,2,,0,7,0,5 Yard Penalty,"(7:37) (Shotgun) PENALTY on AFC-C.Campbell, Defensive Offside, 5 yards, enforced at AFC 21 - No Play.",2nd & 19 at AFC 21
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,1ST QUARTER,2,,0,8,0,10 Yard Pass,(7:14) (Shotgun) R.Wilson pass short middle to G.Kittle to AFC 6 for 10 yards (V.Miller).,2nd & 14 at AFC 16
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,1ST QUARTER,2,,0,9,0,2 Yard Run,(6:41) T.Cohen left guard to AFC 4 for 2 yards (K.Williams).,3rd & 4 at AFC 6
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,1ST QUARTER,2,,0,10,0,Turnover on Downs,(6:04) K.Juszczyk up the middle to AFC 4 for no gain (D.Ford; B.Williams).,4th & 2 at AFC 4
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,1ST QUARTER,3,,0,1,0,33 Yard Pass,(5:59) P.Mahomes pass deep right to J.Cook pushed ob at AFC 37 for 33 yards (M.Jenkins).,1st & 10 at AFC 4
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,1ST QUARTER,3,,0,2,0,Pass Incomplete,(5:33) P.Mahomes pass incomplete deep left to T.Hill.,1st & 10 at AFC 37
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,1ST QUARTER,3,,0,3,0,3 Yard Run,(5:00) L.Miller right tackle to AFC 40 for 3 yards (K.Fuller).,2nd & 10 at AFC 37
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,1ST QUARTER,3,,0,4,0,Pass Incomplete,(4:23) (Shotgun) P.Mahomes pass incomplete deep right to T.Hill (M.Jenkins).,3rd & 7 at AFC 40
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,1ST QUARTER,3,,0,5,0,Turnover on Downs,(3:47) (Shotgun) P.Mahomes pass incomplete short left to K.Allen.,4th & 2 at AFC 45
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,1ST QUARTER,4,,0,1,0,-2 Yard Run,(3:40) A.Kamara right tackle to AFC 47 for -2 yards (B.Williams).,1st & 10 at AFC 45
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,1ST QUARTER,4,,0,2,0,Pass Incomplete,(3:06) (Shotgun) R.Wilson pass incomplete short right to A.Hooper.,2nd & 12 at AFC 47
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,1ST QUARTER,4,,0,3,0,-2 Yard Sack,(2:40) (Shotgun) R.Wilson sacked at AFC 49 for -2 yards (C.Heyward).,3rd & 12 at AFC 47
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,1ST QUARTER,4,,0,4,0,Punt,"(1:57) M.Dickson punts 29 yards to AFC 20, Center-D.Muhlbach. A.Roberts to AFC 26 for 6 yards (M.Thomas).",4th & 14 at AFC 49
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,2ND QUARTER,1,,1,1,0,50 Yard Pass,(1:46) P.Mahomes pass deep middle to K.Allen to NFC 24 for 50 yards (L.Vander Esch).,1st & 10 at AFC 26
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,2ND QUARTER,1,,1,2,0,13 Yard Run,(:51) T.Hill right end to NFC 11 for 13 yards (L.Vander Esch).,1st & 10 at NFC 24
2018,Pro Bowl,SUN,01/27,AFC Pro Bowl,NFC Pro Bowl,2ND QUARTER,1,,1,3,0,Pass Incomplete,(:08) (Shotgun) P.Mahomes pass incomplete short right to T.Hill.,1st & 10 at NFC 11
