Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayDescription,PlayStart
2019,Conference Championships,SUN,01/19,Titans,Chiefs,1ST QUARTER,1,TEN,1,1,0,Kickoff,H.Butker kicks 54 yards from KC 35 to TEN 11. K.Raymond to TEN 30 for 19 yards (A.Watts).,Kickoff from KC 35
2019,Conference Championships,SUN,01/19,Titans,Chiefs,1ST QUARTER,1,TEN,1,2,0,4 Yard Run,(14:55) D.Henry left guard to TEN 34 for 4 yards (F.Clark; D.Nnadi).,1st & 10 at TEN 30
2019,Conference Championships,SUN,01/19,Titans,Chiefs,1ST QUARTER,1,TEN,1,3,0,37 Yard Pass,(14:18) R.Tannehill pass short middle to A.Brown to KC 29 for 37 yards (T.Mathieu).,2nd & 6 at TEN 34
2019,Conference Championships,SUN,01/19,Titans,Chiefs,1ST QUARTER,1,TEN,1,4,0,1 Yard Run,(13:29) D.Henry left tackle to KC 28 for 1 yard (A.Hitchens).,1st & 10 at KC 29
2019,Conference Championships,SUN,01/19,Titans,Chiefs,1ST QUARTER,1,TEN,1,5,0,12 Yard Pass,(12:51) R.Tannehill pass short right to C.Davis to KC 16 for 12 yards (D.Wilson).,2nd & 9 at KC 28
2019,Conference Championships,SUN,01/19,Titans,Chiefs,1ST QUARTER,1,TEN,1,6,0,4 Yard Run,(12:25) (Shotgun) Direct snap to D.Henry.  D.Henry up the middle to KC 12 for 4 yards (F.Clark; M.Pennel).,1st & 10 at KC 16
2019,Conference Championships,SUN,01/19,Titans,Chiefs,1ST QUARTER,1,TEN,1,7,0,Pass Incomplete,(11:44) (Shotgun) R.Tannehill pass incomplete short left to C.Davis.,2nd & 6 at KC 12
2019,Conference Championships,SUN,01/19,Titans,Chiefs,1ST QUARTER,1,TEN,1,8,0,Pass Incomplete,(11:39) (Shotgun) R.Tannehill pass incomplete short right to T.Sharpe.,3rd & 6 at KC 12
2019,Conference Championships,SUN,01/19,Titans,Chiefs,1ST QUARTER,1,TEN,1,9,1,Field Goal,"(11:33) G.Joseph 30 yard field goal is GOOD, Center-B.Brinkley, Holder-B.Kern.",4th & 6 at KC 12
2019,Conference Championships,SUN,01/19,Titans,Chiefs,1ST QUARTER,2,KC,0,1,0,Kickoff,G.Joseph kicks 62 yards from TEN 35 to KC 3. M.Hardman pushed ob at KC 21 for 18 yards (L.Sims).,Kickoff from TEN 35
