Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayDescription,PlayStart
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,1ST QUARTER,1,PIT,0,1,0,Kickoff,"H.Niswander kicks 65 yards from DAL 35 to end zone, Touchback.",Kickoff from DAL 35
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,1ST QUARTER,1,PIT,0,2,0,7 Yard Pass,(15:00) (Shotgun) M.Rudolph pass short left to D.Johnson to PIT 32 for 7 yards (K.Joseph).,1st & 10 at PIT 25
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,1ST QUARTER,1,PIT,0,3,0,6 Yard Run,(14:26) N.Harris left guard to PIT 38 for 6 yards (J.Kearse).,2nd & 3 at PIT 32
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,1ST QUARTER,1,PIT,0,4,0,3 Yard Pass,(13:42) M.Rudolph pass short left to N.Harris to PIT 41 for 3 yards (K.Neal) [D.Armstrong].,1st & 10 at PIT 38
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,1ST QUARTER,1,PIT,0,5,0,2 Yard Run,(12:52) R.McCloud left end ran ob at PIT 43 for 2 yards (J.Kearse).,2nd & 7 at PIT 41
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,1ST QUARTER,1,PIT,0,6,0,11 Yard Pass,(12:22) (Shotgun) M.Rudolph pass short right to C.Claypool ran ob at DAL 46 for 11 yards.,3rd & 5 at PIT 43
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,1ST QUARTER,1,PIT,0,7,0,Fumble,"(11:48) M.Rudolph FUMBLES (Aborted) at DAL 48, RECOVERED by DAL-M.Parsons at PIT 48.",1st & 10 at DAL 46
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,1ST QUARTER,2,DAL,1,1,0,15 Yard Pass,(11:44) (Shotgun) G.Gilbert pass short left to D.Schultz to PIT 33 for 15 yards (T.Norwood).,1st & 10 at PIT 48
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,1ST QUARTER,2,DAL,1,2,0,6 Yard Run,(11:11) T.Pollard right guard to PIT 27 for 6 yards (J.Pierre).,1st & 10 at PIT 33
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,1ST QUARTER,2,DAL,1,3,0,Pass Incomplete,(10:37) (Shotgun) G.Gilbert pass incomplete short left to D.Schultz.,2nd & 4 at PIT 27
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,1ST QUARTER,2,DAL,1,4,0,7 Yard Pass,(10:33) (Shotgun) G.Gilbert pass short right to N.Brown to PIT 20 for 7 yards (J.Pierre).,3rd & 4 at PIT 27
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,1ST QUARTER,2,DAL,1,5,0,3 Yard Run,(9:59) T.Pollard right guard to PIT 17 for 3 yards (H.Mondeaux; C.Marsh).,1st & 10 at PIT 20
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,1ST QUARTER,2,DAL,1,6,0,Pass Incomplete,(9:16) (Shotgun) G.Gilbert pass incomplete deep middle to C.Wilson [U.Gilbert].,2nd & 7 at PIT 17
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,1ST QUARTER,2,DAL,1,7,0,12 Yard Pass,(9:12) (Shotgun) G.Gilbert pass short left to R.Dowdle to PIT 5 for 12 yards (R.Spillane).,3rd & 7 at PIT 17
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,1ST QUARTER,2,DAL,1,8,0,1 Yard Run,(8:35) R.Dowdle right guard to PIT 4 for 1 yard (M.Killebrew).,1st & 5 at PIT 5
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,1ST QUARTER,2,DAL,1,9,0,-7 Yard Sack,(7:51) (Shotgun) G.Gilbert sacked at PIT 11 for -7 yards (A.Highsmith).,2nd & 4 at PIT 4
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,1ST QUARTER,2,DAL,1,10,0,Pass Incomplete,(7:07) (Shotgun) G.Gilbert pass incomplete short left to M.Turner (T.Norwood).,3rd & 11 at PIT 11
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,1ST QUARTER,2,DAL,1,11,1,Field Goal,"(7:01) H.Niswander 29 yard field goal is GOOD, Center-J.McQuaide, Holder-B.Anger.",4th & 11 at PIT 11
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,1ST QUARTER,3,PIT,0,1,0,Kickoff,"H.Niswander kicks 65 yards from DAL 35 to end zone, Touchback.",Kickoff from DAL 35
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,1ST QUARTER,3,PIT,0,2,0,12 Yard Pass,(6:57) (Shotgun) M.Rudolph pass short left to D.Johnson to PIT 37 for 12 yards (M.Parsons).,1st & 10 at PIT 25
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,1ST QUARTER,3,PIT,0,3,0,5 Yard Run,(6:18) (Shotgun) N.Harris left guard to PIT 42 for 5 yards (N.Wright; M.Canady).,1st & 10 at PIT 37
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,1ST QUARTER,3,PIT,0,4,0,6 Yard Run,(5:38) N.Harris right tackle ran ob at PIT 48 for 6 yards (M.Parsons).,2nd & 5 at PIT 42
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,1ST QUARTER,3,PIT,0,5,0,6 Yard Pass,(5:12) (Shotgun) M.Rudolph pass short right to C.Claypool ran ob at DAL 46 for 6 yards.,1st & 10 at PIT 48
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,1ST QUARTER,3,PIT,0,6,0,1 Yard Run,(4:36) N.Harris left tackle to DAL 45 for 1 yard (M.Parsons).,2nd & 4 at DAL 46
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,1ST QUARTER,3,PIT,0,7,0,Pass Incomplete,(3:58) (Shotgun) M.Rudolph pass incomplete short left to C.Claypool.,3rd & 3 at DAL 45
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,1ST QUARTER,3,PIT,0,8,0,Punt,"(3:54) P.Harvin punts 35 yards to DAL 10, Center-C.Kuntz. J.Dixon to DAL 11 for 1 yard (A.Johnson; M.Gilbert).",4th & 3 at DAL 45
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,2ND QUARTER,1,DAL,0,1,0,21 Yard Pass,(3:44) G.Gilbert pass deep middle to C.Wilson to DAL 32 for 21 yards (J.Pierre) [U.Gilbert].,1st & 10 at DAL 11
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,2ND QUARTER,1,DAL,0,2,0,2 Yard Run,(3:13) (Shotgun) R.Dowdle left guard to DAL 34 for 2 yards (C.Wormley).,1st & 10 at DAL 32
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,2ND QUARTER,1,DAL,0,3,0,4 Yard Pass,(2:28) (Shotgun) G.Gilbert pass short left to R.Dowdle to DAL 38 for 4 yards (M.Killebrew).,2nd & 8 at DAL 34
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,2ND QUARTER,1,DAL,0,4,0,8 Yard Pass,(1:47) (Shotgun) G.Gilbert pass short left to C.Wilson to DAL 46 for 8 yards (C.Sutton; R.Spillane).,3rd & 4 at DAL 38
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,2ND QUARTER,1,DAL,0,5,0,-2 Yard Run,"(1:12) R.Dowdle right guard to DAL 44 for -2 yards (I.Buggs, A.Highsmith).",1st & 10 at DAL 46
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,2ND QUARTER,1,DAL,0,6,0,Pass Incomplete,(:34) (Shotgun) G.Gilbert pass incomplete short left to C.Wilson.,2nd & 12 at DAL 44
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,2ND QUARTER,1,DAL,0,7,0,13 Yard Pass,(:31) (Shotgun) G.Gilbert pass short left to S.McKeon to PIT 43 for 13 yards (R.Spillane).,3rd & 12 at DAL 44
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,2ND QUARTER,1,DAL,0,8,0,17 Yard Pass,(15:00) G.Gilbert pass short right to S.Olonilua to PIT 26 for 17 yards (U.Gilbert).,1st & 10 at PIT 43
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,2ND QUARTER,1,DAL,0,9,0,9 Yard Run,(14:20) R.Dowdle left guard to PIT 17 for 9 yards (U.Gilbert).,1st & 10 at PIT 26
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,2ND QUARTER,1,DAL,0,10,0,3 Yard Run,(13:49) R.Dowdle left guard to PIT 14 for 3 yards (R.Spillane).,2nd & 1 at PIT 17
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,2ND QUARTER,1,DAL,0,11,0,Run for No Gain,(13:32) S.Olonilua right guard to PIT 14 for no gain (A.Brooks).,1st & 10 at PIT 14
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,2ND QUARTER,1,DAL,0,12,0,7 Yard Pass,(12:56) (Shotgun) G.Gilbert pass short left to M.Turner to PIT 7 for 7 yards (M.Killebrew).,2nd & 10 at PIT 14
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,2ND QUARTER,1,DAL,0,13,0,-3 Yard Sack,"(12:13) (Shotgun) G.Gilbert sacked at PIT 13 for -6 yards (C.Marsh). FUMBLES (C.Marsh) [C.Marsh], recovered by DAL-B.Knight at PIT 15. B.Knight to PIT 10 for 5 yards (A.Highsmith).",3rd & 3 at PIT 7
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,2ND QUARTER,1,DAL,0,14,0,Field Goal No Good,"(11:30) H.Niswander 29 yard field goal is BLOCKED (T.Norwood), Center-J.McQuaide, Holder-B.Anger.",4th & 6 at PIT 10
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,2ND QUARTER,2,PIT,0,1,0,Pass Incomplete,(11:26) M.Rudolph pass incomplete deep left.,1st & 10 at PIT 20
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,2ND QUARTER,2,PIT,0,2,0,6 Yard Run,(11:18) (Shotgun) N.Harris right guard to PIT 26 for 6 yards (L.Gifford).,2nd & 10 at PIT 20
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,2ND QUARTER,2,PIT,0,3,0,45 Yard Pass,(10:34) (Shotgun) M.Rudolph pass deep left to C.Claypool to DAL 29 for 45 yards (N.Wright). PIT-C.Claypool was injured during the play. His return is Questionable.,3rd & 4 at PIT 26
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,2ND QUARTER,2,PIT,0,4,0,-4 Yard Run,(10:08) N.Harris right tackle to DAL 33 for -4 yards (M.Canady).,1st & 10 at DAL 29
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,2ND QUARTER,2,PIT,0,5,0,2 Yard Run,(9:26) (Shotgun) N.Harris right guard to DAL 31 for 2 yards (J.Hamilton).,2nd & 14 at DAL 33
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,2ND QUARTER,2,PIT,0,6,0,Pass Incomplete,(8:45) (Shotgun) M.Rudolph pass incomplete short left to J.Washington.,3rd & 12 at DAL 31
2021,Hall Of Fame,THU,08/05,Cowboys,Steelers,2ND QUARTER,2,PIT,0,7,0,Field Goal No Good,"(8:41) S.Sloman 49 yard field goal is No Good, Wide Right, Center-C.Kuntz, Holder-P.Harvin.",4th & 12 at DAL 31
