Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayDescription,PlayStart
2021,Super Bowl,SUN,02/13,Rams,Bengals,1ST QUARTER,1,LA,0,1,0,Kickoff,"E.McPherson kicks 65 yards from CIN 35 to end zone, Touchback.",Kickoff from CIN 35
2021,Super Bowl,SUN,02/13,Rams,Bengals,1ST QUARTER,1,LA,0,2,0,4 Yard Run,(15:00) C.Akers left tackle to LA 29 for 4 yards (S.Hubbard).,1st & 10 at LA 25
2021,Super Bowl,SUN,02/13,Rams,Bengals,1ST QUARTER,1,LA,0,3,0,7 Yard Pass,"(14:36) (No Huddle, Shotgun) M.Stafford pass short middle to C.Akers to LA 36 for 7 yards (E.Apple, T.Hendrickson).",2nd & 6 at LA 29
2021,Super Bowl,SUN,02/13,Rams,Bengals,1ST QUARTER,1,LA,0,4,0,Run for No Gain,(13:52) C.Akers left end to LA 36 for no gain (C.Awuzie).,1st & 10 at LA 36
2021,Super Bowl,SUN,02/13,Rams,Bengals,1ST QUARTER,1,LA,0,5,0,-7 Yard Sack,(13:27) (Shotgun) M.Stafford sacked at LA 29 for -7 yards (T.Hendrickson).,2nd & 10 at LA 36
2021,Super Bowl,SUN,02/13,Rams,Bengals,1ST QUARTER,1,LA,0,6,0,-3 Yard Run,(12:43) (Shotgun) D.Henderson left end to LA 26 for -3 yards (B.Hill).,3rd & 17 at LA 29
2021,Super Bowl,SUN,02/13,Rams,Bengals,1ST QUARTER,1,LA,0,7,0,Punt,"(12:04) J.Hekker punts 40 yards to CIN 34, Center-M.Orzech. T.Taylor to CIN 42 for 8 yards (M.Hoecht).",4th & 20 at LA 26
2021,Super Bowl,SUN,02/13,Rams,Bengals,1ST QUARTER,2,CIN,0,1,0,8 Yard Pass,(11:54) (Shotgun) J.Burrow pass short right to T.Boyd pushed ob at 50 for 8 yards (J.Ramsey).,1st & 10 at CIN 42
2021,Super Bowl,SUN,02/13,Rams,Bengals,1ST QUARTER,2,CIN,0,2,0,1 Yard Run,"(11:23) (Shotgun) J.Mixon left guard to LA 49 for 1 yard (A.Robinson, G.Gaines).",2nd & 2 at 50
2021,Super Bowl,SUN,02/13,Rams,Bengals,1ST QUARTER,2,CIN,0,3,0,Run for No Gain,"(10:39) (Shotgun) S.Perine right guard to LA 49 for no gain (A.Robinson, G.Gaines).",3rd & 1 at LA 49
