Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayDescription,PlayStart
2022,Divisional Playoffs,SAT,01/21,Jaguars,Chiefs,1ST QUARTER,1,JAX,0,1,0,Kickoff,"H.Butker kicks 65 yards from KC 35 to end zone, Touchback.",Kickoff from KC 35
2022,Divisional Playoffs,SAT,01/21,Jaguars,Chiefs,1ST QUARTER,1,JAX,0,2,0,Pass Incomplete,(15:00) (Shotgun) T.Lawrence pass incomplete short right to C.Kirk (Ja.Watson).,1st & 10 at JAX 25
2022,Divisional Playoffs,SAT,01/21,Jaguars,Chiefs,1ST QUARTER,1,JAX,0,3,0,6 Yard Pass,(14:57) (Shotgun) T.Lawrence pass short left to T.Etienne to JAX 31 for 6 yards (T.McDuffie).,2nd & 10 at JAX 25
2022,Divisional Playoffs,SAT,01/21,Jaguars,Chiefs,1ST QUARTER,1,JAX,0,4,0,Pass Incomplete,(14:14) (Shotgun) T.Lawrence pass incomplete short left to J.Agnew.,3rd & 4 at JAX 31
2022,Divisional Playoffs,SAT,01/21,Jaguars,Chiefs,1ST QUARTER,1,JAX,0,5,0,Punt,"(14:07) L.Cooke punts 58 yards to KC 11, Center-R.Matiscik. K.Toney to KC 17 for 6 yards (A.Wingard; K.Chaisson).",4th & 4 at JAX 31
2022,Divisional Playoffs,SAT,01/21,Jaguars,Chiefs,1ST QUARTER,2,KC,1,1,0,12 Yard Run,(13:56) (Shotgun) I.Pacheco left end pushed ob at KC 29 for 12 yards (A.Cisco).,1st & 10 at KC 17
2022,Divisional Playoffs,SAT,01/21,Jaguars,Chiefs,1ST QUARTER,2,KC,1,2,0,7 Yard Pass,"(13:22) (Shotgun) P.Mahomes pass short right to T.Kelce to KC 36 for 7 yards (T.Herndon, D.Lloyd).",1st & 10 at KC 29
2022,Divisional Playoffs,SAT,01/21,Jaguars,Chiefs,1ST QUARTER,2,KC,1,3,0,14 Yard Pass,(12:40) (Shotgun) P.Mahomes pass short middle to T.Kelce to 50 for 14 yards (A.Cisco) [D.Lloyd].,2nd & 3 at KC 36
2022,Divisional Playoffs,SAT,01/21,Jaguars,Chiefs,1ST QUARTER,2,KC,1,4,0,5 Yard Run,(12:02) I.Pacheco right end to JAX 45 for 5 yards (R.Robertson-Harris; D.Lloyd).,1st & 10 at 50
2022,Divisional Playoffs,SAT,01/21,Jaguars,Chiefs,1ST QUARTER,2,KC,1,5,0,13 Yard Pass,(11:30) (Shotgun) P.Mahomes pass short middle to J.Smith-Schuster to JAX 32 for 13 yards (F.Oluokun; D.Lloyd).,2nd & 5 at JAX 45
2022,Divisional Playoffs,SAT,01/21,Jaguars,Chiefs,1ST QUARTER,2,KC,1,6,0,9 Yard Pass,(10:52) (Shotgun) P.Mahomes pass short right to K.Toney to JAX 23 for 9 yards (F.Oluokun; D.Williams).,1st & 10 at JAX 32
2022,Divisional Playoffs,SAT,01/21,Jaguars,Chiefs,1ST QUARTER,2,KC,1,7,0,5 Yard Run,(10:12) (Shotgun) J.McKinnon right end to JAX 18 for 5 yards (F.Oluokun; F.Fatukasi).,2nd & 1 at JAX 23
2022,Divisional Playoffs,SAT,01/21,Jaguars,Chiefs,1ST QUARTER,2,KC,1,8,0,Pass Incomplete,(9:40) (Shotgun) P.Mahomes pass incomplete short right [F.Oluokun].,1st & 10 at JAX 18
2022,Divisional Playoffs,SAT,01/21,Jaguars,Chiefs,1ST QUARTER,2,KC,1,9,0,4 Yard Run,(9:34) (Shotgun) I.Pacheco right tackle to JAX 14 for 4 yards (F.Oluokun; K.Chaisson).,2nd & 10 at JAX 18
2022,Divisional Playoffs,SAT,01/21,Jaguars,Chiefs,1ST QUARTER,2,KC,1,10,0,6 Yard Pass,(8:53) (Shotgun) P.Mahomes pass short middle to T.Kelce to JAX 8 for 6 yards (R.Jenkins) [D.Lloyd].,3rd & 6 at JAX 14
2022,Divisional Playoffs,SAT,01/21,Jaguars,Chiefs,1ST QUARTER,2,KC,1,11,0,Pass Incomplete,(8:07) (Shotgun) P.Mahomes pass incomplete short right to T.Kelce.,1st & 8 at JAX 8
2022,Divisional Playoffs,SAT,01/21,Jaguars,Chiefs,1ST QUARTER,2,KC,1,12,0,Touchdown Chiefs,"(8:02) P.Mahomes pass short right to T.Kelce for 8 yards, TOUCHDOWN.",2nd & 8 at JAX 8
