Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayDescription,PlayStart
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,1,CAR,0,1,0,Kickoff,J.Slye kicks 58 yards from NE 35 to CAR 7. I.Smith-Marsette to CAR 26 for 19 yards (R.McMillan).,Kickoff from NE 35
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,1,CAR,0,2,0,3 Yard Run,(14:55) (Shotgun) M.Boone left guard to CAR 29 for 3 yards (J.Pharms; J.Hawkins).,1st & 10 at CAR 26
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,1,CAR,0,3,0,Pass Incomplete,(14:07) (Shotgun) J.Plummer pass incomplete short right to I.Smith-Marsette.,2nd & 7 at CAR 29
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,1,CAR,0,4,0,-7 Yard Sack,(14:03) (Shotgun) J.Plummer sacked at CAR 22 for -7 yards (D.Wise).,3rd & 7 at CAR 29
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,1,CAR,0,5,0,Punt,"(13:21) J.Hekker punts 46 yards to NE 32, Center-J.Jansen. J.Reagor to NE 30 for -2 yards (A.Cook).",4th & 14 at CAR 22
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,2,NE,0,1,0,11 Yard Run,(13:11) R.Stevenson right tackle pushed ob at NE 41 for 11 yards (A.Cook).,1st & 10 at NE 30
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,2,NE,0,2,0,Pass Incomplete,(12:42) J.Brissett pass incomplete short left to M.Wilcox.,1st & 10 at NE 41
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,2,NE,0,3,0,Pass Incomplete,(12:38) (Shotgun) J.Brissett pass incomplete deep right to T.Thornton (L.Jackson).,2nd & 10 at NE 41
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,2,NE,0,4,0,Pass Incomplete,(12:30) (Shotgun) J.Brissett pass incomplete deep right [K.Chaisson].,3rd & 10 at NE 41
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,2,NE,0,5,0,Punt,"(12:21) B.Baringer punts 44 yards to CAR 15, Center-T.Addington. I.Smith-Marsette to CAR 23 for 8 yards (O.Ximines).",4th & 10 at NE 41
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,3,CAR,0,1,0,Run for No Gain,(12:10) M.Boone left tackle to CAR 23 for no gain (D.Ekuale; O.Ximines).,1st & 10 at CAR 23
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,3,CAR,0,2,0,Pass Incomplete,(11:30) (Shotgun) J.Plummer pass incomplete short middle to T.Marshall.,2nd & 10 at CAR 23
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,3,CAR,0,3,0,Pass Incomplete,(11:26) (Shotgun) J.Plummer pass incomplete deep middle to J.Mingo.,3rd & 10 at CAR 23
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,3,CAR,0,4,0,Punt,"(11:19) J.Hekker punts 49 yards to NE 28, Center-J.Jansen. K.Osborn to NE 29 for 1 yard (T.Davis).",4th & 10 at CAR 23
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,4,NE,0,1,0,1 Yard Run,(11:11) NE 10-Maye now at QB. A.Gibson right tackle to NE 30 for 1 yard (A.Cook).,1st & 10 at NE 29
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,4,NE,0,2,0,-5 Yard Penalty,"(10:34) PENALTY on NE-C.Okorafor, False Start, 5 yards, enforced at NE 30 - No Play.",2nd & 9 at NE 30
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,4,NE,0,3,0,2 Yard Run,"(10:13) (Shotgun) A.Gibson up the middle to NE 27 for 2 yards (C.Cherelus, K.Chaisson).",2nd & 14 at NE 25
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,4,NE,0,4,0,13 Yard Pass,(9:38) (Shotgun) D.Maye pass short left to A.Gibson to NE 40 for 13 yards (L.Jackson).,3rd & 12 at NE 27
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,4,NE,0,5,0,Pass Incomplete,(8:51) D.Maye pass incomplete short right to J.Reagor (L.Jackson).,1st & 10 at NE 40
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,4,NE,0,6,0,-1 Yard Run,(8:46) A.Gibson left guard to NE 39 for -1 yards (E.Leota).,2nd & 10 at NE 40
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,4,NE,0,7,0,6 Yard Pass,(8:10) (Shotgun) D.Maye pass short left to K.Harris to NE 45 for 6 yards (D.Jackson; D.Richardson).,3rd & 11 at NE 39
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,4,NE,0,8,0,Punt,"(7:29) B.Baringer punts 44 yards to CAR 11, Center-T.Addington, fair catch by I.Smith-Marsette.",4th & 5 at NE 45
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,5,CAR,0,1,0,6 Yard Run,"(7:21) J.Mingo right tackle to CAR 17 for 6 yards (A.Austin, J.Hawkins).",1st & 10 at CAR 11
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,5,CAR,0,2,0,-9 Yard Sack,"(6:48) J.Plummer sacked at CAR 8 for -9 yards (J.Pharms). FUMBLES (J.Pharms), RECOVERED by NE-A.Jennings at CAR 7.
The Replay Official reviewed the passer was not down by contact ruling, and the play was REVERSED.
J.Plummer sacked at CAR 8 for -9 yards (J.Pharms).",2nd & 4 at CAR 17
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,5,CAR,0,3,0,-4 Yard Penalty,"(6:30) (Shotgun) PENALTY on CAR-B.Christensen, False Start, 4 yards, enforced at CAR 8 - No Play.",3rd & 13 at CAR 8
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,5,CAR,0,4,0,4 Yard Run,(6:16) (Shotgun) M.Boone right guard to CAR 8 for 4 yards (A.Jennings).,3rd & 17 at CAR 4
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,5,CAR,0,5,0,Punt,"(5:35) J.Hekker punts 44 yards to NE 48, Center-J.Jansen, downed by CAR-A.Cook.",4th & 13 at CAR 8
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,6,NE,0,1,0,2 Yard Run,(5:23) NE 4-Zappe now at QB. A.Gibson up the middle to 50 for 2 yards (N.Thurman).,1st & 10 at NE 48
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,6,NE,0,2,0,3 Yard Pass,(4:50) (Shotgun) B.Zappe pass short left to J.Polk to CAR 47 for 3 yards (D.Jackson).,2nd & 8 at 50
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,6,NE,0,3,0,6 Yard Pass,(4:11) (Shotgun) B.Zappe pass short left to J.Polk to CAR 41 for 6 yards (D.Jackson).,3rd & 5 at CAR 47
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,6,NE,0,4,0,6 Yard Run,"(3:37) B.Zappe FUMBLES (Aborted) at CAR 42, and recovers at CAR 43. B.Zappe to CAR 35 for 8 yards (A.Cook).",1st & 10 at CAR 41
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,6,NE,0,5,0,-5 Yard Penalty,"(2:57) PENALTY on NE-L.Pettway, False Start, 5 yards, enforced at CAR 35 - No Play.",2nd & 4 at CAR 35
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,6,NE,0,6,0,-9 Yard Run,"(2:36) (Shotgun) K.Harris right tackle to CAR 39 for 1 yard (L.Jackson).
PENALTY on NE-M.Wilcox, Offensive Holding, 10 yards, enforced at CAR 39.",2nd & 9 at CAR 40
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,6,NE,0,7,0,3 Yard Pass,(2:06) (Shotgun) B.Zappe pass short right to J.Reagor pushed ob at CAR 46 for 3 yards (C.Smith-Wade).,2nd & 18 at CAR 49
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,6,NE,0,8,0,Pass Incomplete,"(1:26) (Shotgun) B.Zappe pass incomplete short right.
PENALTY on NE-B.Zappe, Intentional Grounding, 10 yards, enforced at CAR 46.",3rd & 15 at CAR 46
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,1ST QUARTER,6,NE,0,9,0,Punt,"(1:20) B.Baringer punts 56 yards to end zone, Center-T.Addington, Touchback.",4th & 25 at NE 44
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,2ND QUARTER,1,CAR,0,1,0,11 Yard Run,(1:11) (Shotgun) M.Boone left end ran ob at CAR 31 for 11 yards (J.Hawkins).,1st & 10 at CAR 20
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,2ND QUARTER,1,CAR,0,2,0,4 Yard Pass,(:43) J.Plummer pass short right to I.Smith-Marsette to CAR 35 for 4 yards (J.Giles-Harris) [W.Bradley-King].,1st & 10 at CAR 31
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,2ND QUARTER,1,CAR,0,3,0,4 Yard Run,(15:00) (Shotgun) M.Boone left guard to CAR 39 for 4 yards (A.Austin).,2nd & 6 at CAR 35
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,2ND QUARTER,1,CAR,0,4,0,Pass Incomplete,(14:24) (Shotgun) J.Plummer pass incomplete short right to D.Moore (J.Giles-Harris).,3rd & 2 at CAR 39
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,2ND QUARTER,1,CAR,0,5,0,Punt,"(14:21) J.Hekker punts 41 yards to NE 20, Center-J.Jansen, fair catch by D.Wallis.",4th & 2 at CAR 39
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,2ND QUARTER,2,NE,0,1,0,5 Yard Run,(14:12) K.Harris left tackle to NE 25 for 5 yards (N.Thurman).,1st & 10 at NE 20
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,2ND QUARTER,2,NE,0,2,0,3 Yard Run,(13:36) K.Harris left guard to NE 28 for 3 yards (N.Thurman). CAR-J.Crumedy was injured during the play.,2nd & 5 at NE 25
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,2ND QUARTER,2,NE,0,3,0,9 Yard Pass,(13:00) (Shotgun) B.Zappe pass short middle to K.Boutte to NE 37 for 9 yards (A.Cook).,3rd & 2 at NE 28
2024,Preseason Week 1,THU,08/08,Panthers,Patriots,2ND QUARTER,2,NE,0,4,0,5 Yard Run,"(12:21) K.Harris up the middle to NE 42 for 5 yards (T.Wallace, Dj.Johnson).",1st & 10 at NE 37
