Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayDescription,PlayStart
2024,Week 17,WED,12/25,Chiefs,Steelers,1ST QUARTER,1,PIT,0,1,0,Kickoff,"H.Butker kicks 65 yards from KC 35 to end zone, Touchback to the PIT 30.",Kickoff from KC 35
2024,Week 17,WED,12/25,Chiefs,Steelers,1ST QUARTER,1,PIT,0,2,0,7 Yard Pass,(15:00) (Shotgun) R.Wilson pass short right to P.Freiermuth to PIT 37 for 7 yards (D.Tranquill).,1st & 10 at PIT 30
2024,Week 17,WED,12/25,Chiefs,Steelers,1ST QUARTER,1,PIT,0,3,0,1 Yard Run,(14:26) N.Harris left tackle to PIT 38 for 1 yard (N.Bolton).,2nd & 3 at PIT 37
2024,Week 17,WED,12/25,Chiefs,Steelers,1ST QUARTER,1,PIT,0,4,0,-11 Yard Sack,"(14:03) (No Huddle, Shotgun) R.Wilson sacked at PIT 27 for -11 yards (M.Danna). FUMBLES (M.Danna) [M.Danna], and recovers at PIT 27.",3rd & 2 at PIT 38
2024,Week 17,WED,12/25,Chiefs,Steelers,1ST QUARTER,1,PIT,0,5,0,Punt,"(13:30) C.Waitman punts 40 yards to KC 33, Center-C.Kuntz. N.Remigio pushed ob at PIT 42 for 25 yards (C.Kuntz).",4th & 13 at PIT 27
2024,Week 17,WED,12/25,Chiefs,Steelers,1ST QUARTER,2,KC,1,1,0,8 Yard Run,(13:15) (Shotgun) I.Pacheco right guard to PIT 34 for 8 yards (P.Queen).,1st & 10 at PIT 42
2024,Week 17,WED,12/25,Chiefs,Steelers,1ST QUARTER,2,KC,1,2,0,1 Yard Run,(12:46) (Shotgun) I.Pacheco right guard to PIT 33 for 1 yard (A.Highsmith).,2nd & 2 at PIT 34
2024,Week 17,WED,12/25,Chiefs,Steelers,1ST QUARTER,2,KC,1,3,0,Run for No Gain,(12:06) (Shotgun) K.Hunt right tackle to PIT 33 for no gain (Ca.Heyward; P.Queen).,3rd & 1 at PIT 33
2024,Week 17,WED,12/25,Chiefs,Steelers,1ST QUARTER,2,KC,1,4,0,4 Yard Run,(11:25) (Shotgun) K.Hunt up the middle to PIT 29 for 4 yards (P.Queen).,4th & 1 at PIT 33
2024,Week 17,WED,12/25,Chiefs,Steelers,1ST QUARTER,2,KC,1,5,0,4 Yard Pass,(11:00) (Shotgun) P.Mahomes pass short right to T.Kelce to PIT 25 for 4 yards (D.Jackson).,1st & 10 at PIT 29
2024,Week 17,WED,12/25,Chiefs,Steelers,1ST QUARTER,2,KC,1,6,0,12 Yard Run,(10:29) (Shotgun) P.Mahomes scrambles left end ran ob at PIT 13 for 12 yards (M.Fitzpatrick).,2nd & 6 at PIT 25
2024,Week 17,WED,12/25,Chiefs,Steelers,1ST QUARTER,2,KC,1,7,0,6 Yard Pass,(9:54) (Shotgun) P.Mahomes pass short left to N.Gray pushed ob at PIT 7 for 6 yards (M.Fitzpatrick).,1st & 10 at PIT 13
2024,Week 17,WED,12/25,Chiefs,Steelers,1ST QUARTER,2,KC,1,8,0,Touchdown Chiefs,"(9:23) (Shotgun) P.Mahomes pass short left to X.Worthy for 7 yards, TOUCHDOWN.
PENALTY on KC-X.Worthy, Unsportsmanlike Conduct, 15 yards, enforced between downs.",2nd & 4 at PIT 7
2024,Week 17,WED,12/25,Chiefs,Steelers,1ST QUARTER,2,KC,1,9,1,Extra Point No Good,"H.Butker extra point is No Good, Wide Right, Center-J.Winchester, Holder-M.Araiza.",XP attempt from PIT 30
2024,Week 17,WED,12/25,Chiefs,Steelers,1ST QUARTER,3,PIT,0,1,0,Kickoff,H.Butker kicks 65 yards from KC 35 to PIT 0. C.Patterson to PIT 23 for 23 yards (Ca.Jones).,Kickoff from KC 35
2024,Week 17,WED,12/25,Chiefs,Steelers,1ST QUARTER,3,PIT,0,2,0,2 Yard Run,(9:14) N.Harris up the middle to PIT 25 for 2 yards (N.Bolton; D.Nnadi).,1st & 10 at PIT 23
2024,Week 17,WED,12/25,Chiefs,Steelers,1ST QUARTER,3,PIT,0,3,0,10 Yard Run,(8:38) N.Harris right end ran ob at PIT 35 for 10 yards (C.Roland-Wallace).,2nd & 8 at PIT 25
2024,Week 17,WED,12/25,Chiefs,Steelers,1ST QUARTER,3,PIT,0,4,0,2 Yard Run,(8:03) N.Harris left guard to PIT 37 for 2 yards (D.Tranquill).,1st & 10 at PIT 35
2024,Week 17,WED,12/25,Chiefs,Steelers,1ST QUARTER,3,PIT,0,5,0,-10 Yard Sack,(7:22) (Shotgun) R.Wilson sacked at PIT 27 for -10 yards (G.Karlaftis).,2nd & 8 at PIT 37
2024,Week 17,WED,12/25,Chiefs,Steelers,1ST QUARTER,3,PIT,0,6,0,Pass Incomplete,"(6:50) (No Huddle, Shotgun) R.Wilson pass incomplete deep left to G.Pickens.",3rd & 18 at PIT 27
2024,Week 17,WED,12/25,Chiefs,Steelers,1ST QUARTER,3,PIT,0,7,0,Punt,"(6:45) C.Waitman punts 58 yards to KC 15, Center-C.Kuntz. N.Remigio to KC 22 for 7 yards (M.Robinson). FUMBLES (M.Robinson), touched at KC 24, recovered by KC-D.Bush at KC 21.",4th & 18 at PIT 27
2024,Week 17,WED,12/25,Chiefs,Steelers,1ST QUARTER,4,KC,1,1,0,-1 Yard Run,(6:33) K.Hunt left tackle to KC 20 for -1 yards (T.Watt).,1st & 10 at KC 21
2024,Week 17,WED,12/25,Chiefs,Steelers,1ST QUARTER,4,KC,1,2,0,Pass Incomplete,(6:03) (Shotgun) P.Mahomes pass incomplete short right to M.Brown.,2nd & 11 at KC 20
2024,Week 17,WED,12/25,Chiefs,Steelers,1ST QUARTER,4,KC,1,3,0,14 Yard Pass,"(5:59) (Shotgun) P.Mahomes pass short left to S.Perine to KC 34 for 14 yards (P.Queen).
Penalty on PIT-J.Pierre, Defensive Holding, declined.",3rd & 11 at KC 20
2024,Week 17,WED,12/25,Chiefs,Steelers,1ST QUARTER,4,KC,1,4,0,49 Yard Pass,(5:34) (Shotgun) P.Mahomes pass deep right to Ju.Watson to PIT 17 for 49 yards (D.Jackson).,1st & 10 at KC 34
2024,Week 17,WED,12/25,Chiefs,Steelers,1ST QUARTER,4,KC,1,5,0,Pass Incomplete,(4:48) (Shotgun) P.Mahomes pass incomplete deep right to D.Hopkins (J.Pierre) [Ca.Heyward].,1st & 10 at PIT 17
